DONG_CD,STATS_VL,STATS_VL_2,YR,CTPV_NM,SGG_NM,EMD_NM,SGG_CD
4800000000,366471.0,157.0,2008,경상남도,,,48000
4812000000,81692.0,52.0,2008,경상남도,창원시,,48120
4817000000,36250.0,17.0,2008,경상남도,진주시,,48170
4822000000,15665.0,6.0,2008,경상남도,통영시,,48220
4824000000,16950.0,7.0,2008,경상남도,사천시,,48240
4825000000,32630.0,24.0,2008,경상남도,김해시,,48250
4827000000,20735.0,7.0,2008,경상남도,밀양시,,48270
4831000000,15784.0,8.0,2008,경상남도,거제시,,48310
4833000000,19969.0,14.0,2008,경상남도,양산시,,48330
4872000000,9141.0,3.0,2008,경상남도,의령군,,48720
4873000000,11751.0,3.0,2008,경상남도,함안군,,48730
4874000000,14653.0,4.0,2008,경상남도,창녕군,,48740
4882000000,12727.0,3.0,2008,경상남도,고성군,,48820
4884000000,14913.0,1.0,2008,경상남도,남해군,,48840
4885000000,13074.0,2.0,2008,경상남도,하동군,,48850
4886000000,10084.0,0.0,2008,경상남도,산청군,,48860
4887000000,10973.0,1.0,2008,경상남도,함양군,,48870
4888000000,13697.0,3.0,2008,경상남도,거창군,,48880
4889000000,15783.0,2.0,2008,경상남도,합천군,,48890
